Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor,Immediacy Index
1,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,87.925,8.304
2,ACTA CRYSTALLOGRAPHICA SECTION A,ACTA CRYSTALLOGR A,49.926,0.438
3,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,47.05,14.557
4,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,42.198,6.307
5,ANNUAL REVIEW OF IMMUNOLOGY,ANNU REV IMMUNOL,37.902,14.792
6,PHYSIOLOGICAL REVIEWS,PHYSIOL REV,37.726,4.219
7,CHEMICAL REVIEWS,CHEM REV,35.957,3.978
8,NATURE,NATURE,34.48,8.209
9,NATURE GENETICS,NAT GENET,34.284,8.411
10,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,33.145,16.522
11,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,32.245,4.753
12,CELL,CELL,31.152,6.825
13,LANCET,LANCET,30.758,10.211
14,ANNUAL REVIEW OF BIOCHEMISTRY,ANNU REV BIOCHEM,29.875,4.257
15,SCIENCE,SCIENCE,29.747,6.531
16,NATURE REVIEWS CANCER,NAT REV CANCER,29.538,5.903
17,NATURE MATERIALS,NAT MATER,29.504,5.91
18,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,29.495,5.408
19,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,29.059,4.723
20,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,28.899,7.038
21,NATURE REVIEWS GENETICS,NAT REV GENET,27.822,6.627
22,NATURE MEDICINE,NAT MED,27.136,5.143
23,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,26.483,4.361
24,Nature Nanotechnology,NAT NANOTECHNOL,26.309,3.937
25,NATURE IMMUNOLOGY,NAT IMMUNOL,26,6.794
26,ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS,ANNU REV ASTRON ASTR,25.64,Not Available
27,CANCER CELL,CANCER CELL,25.288,7.317
28,ANNUAL REVIEW OF NEUROSCIENCE,ANNU REV NEUROSCI,24.822,2.667
29,PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,23.753,2.558
30,Cell Stem Cell,CELL STEM CELL,23.563,6.724
